"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Perl", "TypeScript", "Markdown", "Groovy", "YAML", "comment", "blank", "total"
"d:\ttlab\qr-code-backend\src\common\modules\database\database.service.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 1, 4, 49
"d:\ttlab\qr-code-backend\src\common\modules\i18n\i18n.module.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 5, 4, 33
"d:\ttlab\qr-code-backend\src\common\modules\index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\ttlab\qr-code-backend\src\common\modules\services\common.service.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"d:\ttlab\qr-code-backend\src\common\modules\winston\winston.module.ts", "TypeScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 52
"d:\ttlab\qr-code-backend\src\common\pipes\joi.validation.pipe.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 1, 6, 38
"d:\ttlab\qr-code-backend\src\common\pipes\removeEmptyQueryPipe.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"d:\ttlab\qr-code-backend\src\common\providers\context.provider.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 1, 11, 42
"d:\ttlab\qr-code-backend\src\common\providers\generator.provider.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 4, 15, 69
"d:\ttlab\qr-code-backend\src\common\providers\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\ttlab\qr-code-backend\src\common\types.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 1, 8, 51
"d:\ttlab\qr-code-backend\src\i18n\en\action.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\ttlab\qr-code-backend\src\i18n\en\auth.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"d:\ttlab\qr-code-backend\src\i18n\en\category.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\ttlab\qr-code-backend\src\i18n\en\errors.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\ttlab\qr-code-backend\src\i18n\en\file.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\ttlab\qr-code-backend\src\i18n\en\index.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
